col1_1,logSFR_total_1,ID_1,logM_total_1,M_total_1,sSFR_1,logSFR_pred_1,logSFR_pred_sigma_1,t_sf_up,t_sf_sigma_up,tau_up,tau_sigma_up,A_up,A_sigma_up,x_up,x_sigma_up,diff_1,flag_1,col1_2,logSFR_total_2,ID_2,logM_total_2,M_total_2,sSFR_2,logSFR_pred_2,logSFR_pred_sigma_2,t_sf_np,t_sf_sigma_np,tau_np,tau_sigma_np,A_np,A_sigma_np,x_np,x_sigma_np,diff_2,flag_2,sSFR_3,ID_3,x_n,tau_n,A_n,Name,Ra_1,Dec_1,a26_1,b/a,AB,Kmag,f_Kmag,W50,TType,Tdw1,Tdw2,RVel,Dis,f_Dis,A26_1a,inc,Vm,AB_int,SBB,logKLum,logM26,l_logMHI,logMHI,VLG,Theta1,MD,Theta5,Thetaj,l_mag_B,mag_B,e_mag_B,l_mag_FUV,mag_FUV,e_mag_FUV,l_mag_HI,mag_HI,e_mag_HI,l_mag_Ha,mag_Ha,e_mag_Ha,cz,e_cz,e_W50,r_W50,DM,e_DM,BMag,l_SFRHa,logSFRHa,l_PHa,PHa,l_FHa,FHa,l_SFRFUV,logSFRFUV,l_PFUV,PFUV,l_FFUV,FFUV,KLum,M26,MHI,SFRHa,SFRFUV,SFR_UNGC,logSFR_UNGC,SFR_UNGC_Gyr,logSFR_UNGC_Gyr,StellarMass,logStellarMass,PGC,OBJNAME,ID_NED,ID_NEDD,ID_IRAS,ID_2MASS,SDSS_PHOTID,SDSS_SPECID,RA_2,DEC_2,F_ASTROM,R1,R2,PA,RSOURCE,RFLAG,T,E_T,INCL,V,E_V,V_VIR,E_V_VIR,NDIST,EDIST,D,E_D,D_LO68,D_HI68,D_LO95,D_HI95,DMETHOD,UT,BT,VT,IT,E_UT,E_BT,E_VT,E_IT,AG,AI,S12,S25,S60,S100,Q12,Q25,Q60,Q100,WF1,WF2,WF3,WF4,E_WF1,E_WF2,E_WF3,E_WF4,WFPOINT,WFTREAT,J,H,K,E_J,E_H,E_K,FLAG_2MASS,U,G,R,I,Z,E_U,E_G,E_R,E_I,E_Z,logL_TIR,logL_FIR,logL_60u,logL_12u,logL_22u,logL_K,ML_RATIO,logSFR_TIR,logSFR_FIR,logSFR_60u,logSFR_12u,logSFR_22u,logSFR_HEC,FLAG_SFR_HEC,logM_HEC,logSFR_GSW,logM_GSW,MIN_SNR,METAL,FLAG_METAL,CLASS_SP,AGN_S17,AGN_HEC,Separation,merge_D,merge_V,merge_T,merge_logKLum,merge_Kmag,merge_Bmag,logSFR_total,SFR_total,logM_total,M_total,sSFR,logsSFR,ID,gr,bv,bu,MB,MR
1,-0.0659999996423721,1,10.7721996307373,5.9183361790124E10,1.4514442847282E-11,-0.0495316437935516,0.100534886278764,10.7969300351515,2.04705351683871,1.98067317939394,0.486981573181761,7.91192007424242E10,1.06157120196703E9,5.54392748212121,0.458785612262466,0.0164683558488206,Keep,1,-0.0659999996423721,1,10.7721996307373,5.9183361790124E10,1.4514442847282E-11,-0.0240350204094264,0.101604877213785,12.2233699769697,1.39133554726253,2.35338753242424,0.376883990735765,7.97124821666667E10,1.17032125312992E9,5.24679881848485,0.409709003638743,0.0419649792329457,Keep,1.4514442847281974E-11,1,1.3150808176487331E-8,1.0341569748021867E9,6.755134933202219E25,NGC3368,161.69083333333333,11.819722222222222,8.91,0.68,0.11,6.3,,343,3,,,893,10.42,Cep,27.25,49,210,0.31,23.1,10.83,11.14,,9.18,740,0.6,NGC3351,1.0,2.0,,10.11,,,14.2,0.07,,12.98,,,15.03,0.15,893,2,3,2011AJ....142..170H,30.09,0.07,-20.4,,-0.36,,-1.06,,-0.33,,-0.54,,-1.24,,-0.15,6.760829753919819E10,1.3803842646028867E11,1.513561248436207E9,0.436515832240166,0.28840315031266056,0.3624594912764133,-0.4407405234327752,3.6245949127641326E8,8.559259476567226,4.056497852351891E10,10.608151250383644,32192,NGC3368,MESSIER 096,MESSIER 096,NGC 3368,M96,-,-,161.690407,11.819923,0,4.13,2.754,4.6,H,1,2.1,0.7,51.07,892.0,1.6,927.1,13.41,48,1,10.8319,0.5522,10.4646,11.256,9.6819,11.8847,N,10.391,10.081,9.211,9.211,0.096,0.096,0.089,0.089,0.109,0.226,0.98,0.51,10.51,31.63,4,4,4,4,,,,,,,,,0,0,7.236,6.568,6.32,0.018,0.019,0.023,1,,,,,,,,,,,43.3436,43.0167,42.8676,,,10.8574,,-0.066,-0.087,-0.197,,,-0.066,RT,10.7722,,,,,-1,-1,N,N,1.6670980505752446,10.8319,892.0,2.1,10.857399940490723,6.320000171661377,10.081000328063965,-0.06599999964237213,0.8590135222127664,10.772199630737305,5.9183361790123985E10,1.4514442847281974E-11,-10.838199630379677,1,,0.8699999,-0.30999947,-20.09252288172084,
2,-1.38900005817413,2,8.24479961395264,1.7571126846848E8,2.32380845689015E-10,-1.39879356060606,0.0958455508163003,8.57954231121212,1.95168510007967,12.0411505060606,4.99527494088504,1.52299475551515E9,8.74067270293471E8,0.86619440269697,0.439356532957663,-0.00979350243192734,Keep,2,-1.38900005817413,2,8.24479961395264,1.7571126846848E8,2.32380845689015E-10,-1.39641952581818,0.0991456582081171,6.35073562333333,1.09416918328426,4.18659557030303,0.9614193773986,5.22520869939394E8,1.22763580816661E8,1.56816940351515,0.312831485536201,-0.00741946764404844,Keep,2.3238084568901466E-10,2,3.015974527123496E-8,4.5093219049734753E8,6.104969870772293E23,IC4870,294.40666666666664,-65.81194444444444,1.74,0.56,0.49,12.1,,78,9,BCD,N,877,8.51,TRGB,4.67,66,37,0.0,24.0,8.34,8.87,,8.62,740,-0.2,NGC6744,0.1,1.14,,14.5,,,15.53,0.13,,13.92,,,17.04,0.13,877,18,,2005MNRAS.361...34D,29.65,0.05,-15.64,,-1.32,,0.47,,0.07,,-1.19,,0.6,,-0.06,2.187761623949552E8,7.413102413009162E8,4.1686938347033465E8,0.047863009232263824,0.06456542290346556,0.0562142160678647,-1.2501538413865825,5.621421606786469E7,7.749846158613417,1.3126569743697311E8,8.118151250383644,63432,IC4870,IC 4870,IC 4870,F19327-6555,19373757-6548425,-,-,294.406584,-65.811819,0,0.836,0.433,131.5,H,1,10.0,0.5,70.14,877.2,2.9,674.9,10.56,1,1,8.5114,0.392,8.1283,8.9125,7.7625,9.3325,N,14.278,14.608,14.623,14.623,0.253,0.253,0.095,0.095,0.489,0.529,0.0812,0.1221,0.713,2.308,1,2,3,1,,,,,,,,,0,0,12.725,12.463,12.115,0.05,0.084,0.107,2,,,,,,,,,,,,41.6561,41.4897,,,8.33,,,-1.448,-1.575,,,-1.389,FF,8.2448,,,,,-1,-1,?,?,0.4677725337489105,8.5114,877.2,10.0,8.329999923706055,12.114999771118164,14.607999801635742,-1.3890000581741333,0.04083193316379497,8.244799613952637,1.757112684684804E8,2.3238084568901466E-10,-9.63379967212677,2,,-0.015000343,0.32999992,-15.042005203409634,
3,-3.24823872522798,3,6.03381385238372,1080970.52561625,5.2233294923304E-10,-3.26414349606061,0.0994309382201558,4.44301251151515,1.01916739861536,11.58725264,5.16842058761158,2.86278732993939E7,2.19000161839385E7,0.499843945818182,0.320133311027696,-0.015904770832627,Keep,3,-3.24823872522798,3,6.03381385238372,1080970.52561625,5.2233294923304E-10,-3.25985773181818,0.100124151805056,3.70466804515152,0.684527770525527,4.1316794069697,0.964591401434898,6599559.91636364,2487371.29528812,0.936335560333333,0.237228479022209,-0.0116190065902027,Keep,5.223329492330403E-10,3,7.115454354933503E-9,1.9113326179333065E9,1.5166833256087735E23,BK3N,148.45208333333332,68.96916666666667,0.32,0.8,0.35,16.1,*,15,10,Ir,N,-40,4.17,TRGB,0.41,41,4,0.0,24.7,6.12,5.83,,7.29,101,1.0,MESSIER081,1.1,1.9,,18.78,0.06,,19.45,0.09,,15.7,,,25.17,0.55,-40,,,2004AJ....127.2031K,28.1,0.13,-9.67,,-5.23,,-1.21,,2.65,,-3.49,,0.53,,0.91,1318256.7385564074,676082.9753919819,1.9498445997580454E7,5.888436553555884E-6,3.235936569296281E-4,1.64741046741592E-4,-3.783198178897113,164741.04674159197,5.216801821102886,790954.0431338444,5.898151250383644,28529,PGC028529,BK 03N,BK 03N,,,-,-,148.452695,68.969138,1,0.122,0.11,0.0,H,1,10.0,2.0,29.47,-40.0,6.9,199.2,12.53,3,1,3.8885,0.1112,3.8061,3.9524,3.7476,4.2364,N,,18.677,18.263,18.263,,0.298,0.082,0.082,0.344,0.09,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,0.7969430915444607,3.8885,-40.0,10.0,6.12,16.1,18.677000045776367,-3.248238725227979,5.646265226791278E-4,6.033813852383717,1080970.5256162542,5.223329492330403E-10,-9.282052577611696,3,,0.41399956,,-9.271910470679348,
4,-1.51057887136899,4,8.77381385238372,5.94037487261491E8,5.19525987169304E-11,-1.47901586060606,0.102597455071625,10.785276119697,2.27345679068945,3.39562658606061,1.21176814277659,9.33761636939394E8,1.02882575014892E8,3.38078298575758,0.624645680713221,0.0315630107629286,Keep,4,-1.51057887136899,4,8.77381385238372,5.94037487261491E8,5.19525987169304E-11,-1.47864121090909,0.0942771941686198,11.7492136075758,1.48139688000407,3.7573109,0.769853252479049,9.45368680181818E8,6.86176388546367E7,3.19963842181818,0.42348478180954,0.0319376604598982,Keep,5.195259871693041E-11,4,3.0556414889573738,4.450783918580875,9.545605413787508E8,IC4951,302.38249999999994,-61.85055555555556,3.24,0.18,0.17,11.0,*,122,8,,,814,9.19,TRGB,8.38,83,53,0.25,24.7,8.86,9.44,,8.69,701,,,,,,13.97,,,15.55,0.05,,13.91,,,17.48,0.12,814,18,,2005MNRAS.361...34D,29.82,,-16.27,,-1.45,,-0.17,,0.28,,-1.19,,0.09,,0.02,7.244359600749891E8,2.7542287033381634E9,4.8977881936844563E8,0.03548133892335755,0.06456542290346556,0.05002338091341156,-1.300826959098556,5.002338091341156E7,7.699173040901444,4.3466157604499346E8,8.638151250383643,64181,IC4951,IC 4951,IC 4951,,,-,-,302.382447,-61.850409,0,1.535,0.354,175.2,H,1,7.5,1.6,90.0,813.1,2.5,620.9,10.94,6,1,9.4238,2.2013,7.6389,12.3137,6.6838,16.0652,N,,14.009,,,,0.179,,,0.173,1.143,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,0.5352236628540196,9.4238,813.1,7.5,8.86,11.0,14.008999824523926,-1.5105788713689892,0.030861791198509906,8.773813852383716,5.940374872614911E8,5.195259871693041E-11,-10.284392723752704,4,,,,-15.862130478322534,
5,-1.98018926331852,5,10.3303003311157,2.13944108275388E10,4.8922698672612E-13,-1.96812672,0.0991178564388142,12.1110188330303,1.04216349406997,1.21732346727273,0.120044913584364,2.78280538939394E10,2.13063143079383E8,9.96465848242424,0.29492721392997,0.0120625433185204,Keep,5,-1.98018926331852,5,10.3303003311157,2.13944108275388E10,4.8922698672612E-13,-1.96135607848485,0.0997921369059745,12.4279287193939,0.990818732676156,1.25582325212121,0.11665153559814,2.78286496545455E10,2.14566933118842E8,9.91218947666667,0.299651760018442,0.018833184833672,Keep,4.892269867261196E-13,5,1.1076808860192908E-8,1.2277904378105474E9,1.1601665148715783E24,NGC3377,161.92666666666665,13.985555555555555,5.25,0.58,0.15,7.4,,,-2,,,678,10.42,TRGB,16.19,68,,0.0,23.4,10.38,,,,536,1.1,NGC3368,1.2,2.09,,11.24,,,18.05,0.03,,,,,18.47,0.06,678,6,,,30.09,0.02,-19.0,,-1.79,,-2.03,,,,-2.29,,-2.53,,,2.3988329190194946E10,,,0.0162181009735893,0.005128613839913648,0.010673357406751474,-1.9716989475978866,1.0673357406751473E7,7.028301052402114,1.4392997514116968E10,10.158151250383645,32249,NGC3377,NGC 3377,NGC 3377,,NGC3377,-,-,161.926566,13.985641,0,1.936,0.935,36.5,H,1,-4.8,0.5,90.0,681.9,11.5,728.1,17.66,16,1,10.9132,0.526,10.7265,11.0017,10.0166,13.0606,N,11.439,11.129,10.269,10.269,0.171,0.171,0.171,0.171,0.147,0.0,,,,,0,0,0,0,,,,,,,,,0,0,8.285,7.629,7.441,0.019,0.022,0.029,1,,,,,,,,,,,,,,,,10.4155,,,,,,,,,10.3303,,,,,-1,-1,Y,Y,0.46720503454054196,10.9132,681.9,-4.8,10.415499687194824,7.440999984741211,11.128999710083008,-1.9801892633185205,0.010466723141937466,10.330300331115723,2.139441082753878E10,4.892269867261196E-13,-12.310489594434243,5,,0.85999966,-0.31000042,-19.060760861635075,
6,-3.659,6,10.5874004364014,3.86723386718673E10,5.67021548387927E-15,-3.11632126151515,0.0247600072905605,13.7551108939394,0.0434244976944933,1.00359743151515,0.00354436232414713,5.02077104939394E10,3.83672192995279E8,13.7059704212121,0.0637422614564073,0.542678738484848,Keep,6,-3.659,6,10.5874004364014,3.86723386718673E10,5.67021548387927E-15,-3.11642619242424,0.0247547207639137,13.7554276939394,0.0434151992237436,1.00360691606061,0.00353336867052791,5.02046860454545E10,3.86300386772245E8,13.7061550787879,0.0636274877053666,0.542573807575757,Keep,5.670215483879271E-15,6,1.1174755096013776E-8,1.2170289087455125E9,2.3881570597779383E22,NGC3384,162.07041666666666,12.629166666666666,5.5,0.45,0.12,6.8,,,-1,,,704,9.42,TRGB,14.98,80,,0.0,23.1,10.56,,,,556,0.4,NGC3351,0.6,1.41,,10.85,,,,,,,,>,24.66,0.59,704,,,,29.87,0.02,-19.14,<,-4.37,<,-4.8,,,,,,,,,3.630780547701018E10,,,4.265795188015926E-5,,4.265795188015926E-5,-4.37,42657.95188015925,4.63,2.1784683286206104E10,10.338151250383644,32292,NGC3384,NGC 3384,NGC 3384,,NGC3371,1237661951318556677,-,162.070416,12.629338,0,2.618,1.186,53.0,H,1,-2.6,0.8,90.0,563.1,5.9,603.1,14.61,11,1,10.6732,1.011,9.7786,12.0201,9.2933,12.9137,N,12.735,10.89,9.96,9.96,0.02,0.146,0.146,0.146,0.116,0.0,,,,,0,0,0,0,8.588181,8.602882,7.599893,6.289497,4.7E-5,1.78E-4,0.004645,0.034802,0,0,7.667,7.001,6.75,0.016,0.017,0.019,1,12.735,10.758,10.016,16.477,9.352,0.002,0.001,0.001,0.364,0.001,,,,,,10.6726,,,,,,,,,10.5874,,,,,-1,-1,Y,Y,0.6168044460388579,10.6732,563.1,-2.6,10.672599792480469,6.75,10.890000343322754,-3.659,2.1928049353504497E-4,10.587400436401367,3.867233867186728E10,5.670215483879271E-15,-14.246400436401368,6,0.7420006,0.9300003,-1.8449993,-19.251472894374814,-19.987471740665924
7,-2.98099994659424,7,7.90381385238372,8.01334521183765E7,1.30372562278749E-11,-2.96427053151515,0.0996567796886067,10.8432940515152,2.02433422830166,1.9325758869697,0.462383369010797,1.0674968230303E8,1295458.55768176,5.69761991393939,0.446073682587253,0.0167294150790869,Keep,7,-2.98099994659424,7,7.90381385238372,8.01334521183765E7,1.30372562278749E-11,-2.94220878909091,0.102260054890437,12.2161615893939,1.3967085253676,2.27425920787879,0.362114326427111,1.07393814515152E8,1420400.89332837,5.42393434090909,0.409773166446792,0.0387911575033293,Keep,1.3037256227874942E-11,7,1.4310988147097117E-8,9.503187243404057E8,6.9374477297723206E22,KDG064,151.75791666666666,67.8275,1.95,0.47,0.25,11.2,*,,-3,Tr,L,-15,3.75,TRGB,2.22,90,,0.0,25.5,7.99,,,,121,2.8,MESSIER081,2.9,1.89,,15.52,0.1,,24.07,0.41,,,,,22.91,0.21,-15,13,,,27.87,0.02,-12.6,,-4.44,,-2.3,,,,-5.51,,-3.37,,,9.772372209558111E7,,,3.63078054770101E-5,3.090295432513592E-6,1.9699050454761844E-5,-4.705554707452419,19699.05045476184,4.294445292547581,5.8634233257348664E7,7.768151250383644,29388,UGC05442,UGC 05442,UGC 05442,,,1237663549058383917,-,151.757611,67.827539,1,0.861,0.861,0.0,H,2,9.8,0.5,71.61,-15.9,9.6,223.3,14.31,9,1,3.7062,0.1144,3.6615,3.7557,3.4387,3.8632,N,,16.7,,,,1.347,,,0.23,0.549,,,,,0,0,0,0,12.53739,12.487239,10.354626,10.288332,0.007167,0.021784,0.243125,4.222333,0,0,,,,,,,0,19.136,16.291,15.548,15.254,15.025,0.337,0.01,0.009,0.011,0.032,,,,38.9723,,,,,,,-2.969,,-2.981,W3,,,,,,-1,-1,?,?,0.4383778326055434,3.7062,-15.9,9.8,7.99,11.2,16.700000762939453,-2.9809999465942383,0.0010447203476914228,7.903813852383717,8.013345211837652E7,1.3037256227874942E-11,-10.884813798977955,7,0.74300003,,,-11.144643495667234,-15.410372370986554
8,-2.33851383344551,8,7.09381385238372,1.24112022371769E7,3.69549240602228E-10,-2.35412979212121,0.0990195899601582,5.9684382569697,1.37787286041534,11.8341700493939,5.09323930822085,1.976979053E8,1.36128175149563E8,0.636322899545455,0.370264153121135,-0.0156159586756992,Keep,8,-2.33851383344551,8,7.09381385238372,1.24112022371769E7,3.69549240602228E-10,-2.34801561757576,0.0986190458321458,4.71708591878788,0.840924034787707,4.14770511878788,0.969512381083586,5.34478391818182E7,1.67228449515419E7,1.18337850421212,0.272511058318728,-0.00950178413024449,Keep,3.6954924060222833E-10,8,2.129779015690348E-8,6.385639026306064E8,1.3751687566574671E23,AGC198508,140.73749999999998,24.946666666666665,0.38,0.57,0.16,15.3,*,29,10,Ir,N,519,9.82,TRGB,1.1,65,9,0.0,24.2,7.18,6.99,,6.92,424,-0.3,NGC2903,-0.2,-1.29,,17.8,,,18.34,0.08,,18.48,0.11,,20.17,0.03,519,4,7,2011AJ....142..170H,29.96,0.08,-12.32,,-2.52,,0.44,,-0.43,,-2.45,,0.51,,-0.5,1.5135612484362071E7,9772372.209558113,8317637.711026709,0.003019951720402016,0.0035481338923357532,0.003284042806368885,-2.483591190636447,3284042.8063688846,6.516408809363553,9081367.490617242,6.958151250383644,4571720,SDSSJ092256.97+245647.9,SDSS J092256.97+245647.9,,,,-,-,140.737351,24.946751,0,0.206,0.129,65.1,H,1,10.0,2.0,58.77,515.1,3.9,565.1,13.15,0,0,8.2142,3.3354,5.4729,12.3286,3.6465,18.5039,Z,18.702,17.959,,,0.099,0.5,,,0.154,0.374,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,0.5733352460604315,8.2142,515.1,10.0,7.18,15.3,17.958999633789062,-2.338513833445513,0.0045865503617094,7.093813852383716,1.2411202237176899E7,3.6954924060222833E-10,-9.432327685829229,8,,,-0.74300003,-11.61382673062705,
9,-1.4190000295639,9,9.59720039367676,3.95549093610461E9,9.63384327277973E-12,-1.40351921981818,0.101217561942032,10.8844357233333,1.95886455992045,1.79500345393939,0.406542037444545,5.22779556272727E9,5.17236957876661E7,6.14087714909091,0.429771912384319,0.015480809745722,Keep,9,-1.4190000295639,9,9.59720039367676,3.95549093610461E9,9.63384327277973E-12,-1.38228223663636,0.102810494607801,12.1843693063636,1.41713467260214,2.08580196090909,0.323984648173366,5.24739257454545E9,5.39876958361441E7,5.88989704484848,0.398832029521117,0.0367177929275402,Keep,9.633843272779726E-12,9,8.710560409261731E-9,1.56132319403232E9,6.830408667692392E24,IC5332,353.61458333333326,-36.10166666666667,8.32,0.87,0.07,8.7,,102,7,,,701,9.01,TRGB,22.01,30,89,0.05,24.1,9.74,10.3,,9.31,716,-1.8,NGC7713,-1.4,-2.63,,11.0,,,12.62,0.07,,12.33,,,14.63,0.15,701,2,,2004AJ....128...16K,29.77,0.1,-18.9,,-0.39,,0.0,,-0.17,,-0.26,,0.13,,-0.3,5.495408738576248E9,1.9952623149688828E10,2.0417379446695316E9,0.40738027780411273,0.5495408738576245,0.47846057583086865,-0.3201538413865826,4.784605758308686E8,8.679846158613417,3.2972452431457486E9,9.518151250383644,71775,IC5332,IC 5332,IC 5332,F23318-3622,IC5332,-,-,353.614528,-36.101484,1,3.034,3.034,0.0,H,2,6.8,0.4,18.6,703.4,2.3,532.4,13.8,1,1,8.3946,1.5463,6.9823,10.0925,5.8076,12.1339,N,,11.273,10.03,10.03,,0.33,0.11,0.11,0.072,0.041,0.1272,0.1491,0.8282,5.055,1,1,3,2,,,,,,,,,0,0,9.6,8.772,8.704,0.029,0.033,0.049,1,,,,,,,,,,,,,41.5427,,,9.6824,,,,-1.522,,,-1.419,F3,9.5972,,,,,-1,-1,N,N,0.6770096999047425,8.3946,703.4,6.8,9.68239974975586,8.704000473022461,11.27299976348877,-1.4190000295639038,0.03810657974533261,9.597200393676758,3.9554909361046133E9,9.633843272779726E-12,-11.016200423240662,9,,1.243,,-18.347000271382168,
10,0.321000009775162,10,10.4057998657227,2.54565687685041E10,8.22621666741038E-11,0.371496719177273,0.106687439260958,11.0766766460606,2.24884091936787,5.59178317939394,2.95149375645754,5.72211242E10,2.5592244004635E10,2.33060924848485,0.735961877374015,0.050496709402111,Keep,10,0.321000009775162,10,10.4057998657227,2.54565687685041E10,8.22621666741038E-11,0.32702626874303,0.0948149923520306,10.6121876927273,1.60618749791549,4.13888152484849,0.908470856234246,4.5819399769697E10,4.79106811270526E9,2.62825992333333,0.383815704436745,0.00602625896786857,Keep,8.226216667410383E-11,10,2.1246863219321654,6.400944864008121,5.28066745940678E10,NGC3556,167.87916666666666,55.67388888888889,5.01,0.25,0.07,7.0,,308,6,,,696,9.9,TF,13.86,80,144,0.87,21.8,10.52,10.52,,9.42,777,-0.6,Dw1108+5520,-0.2,-0.27,,10.69,,,13.49,0.05,,12.27,,,14.38,0.1,696,22,,1985A&A...143..216H,29.98,,-20.22,,-0.04,,-0.42,,-0.41,,0.1,,-0.28,,-0.55,3.3113112148259075E10,3.3113112148259075E10,2.6302679918953815E9,0.9120108393559098,1.2589254117941673,1.0854681255750385,0.03561707505886942,1.0854681255750384E9,9.03561707505887,1.9867867288955444E10,10.298151250383643,34030,NGC3556,MESSIER 108,MESSIER 108,NGC 3556,M108,1237657611263213608,-,167.8789,55.674268,0,1.991,0.83,79.0,H,1,5.9,0.5,67.53,697.6,1.4,923.6,12.14,9,1,9.9017,2.2667,8.1641,11.5717,6.3696,18.5207,N,10.773,10.703,10.055,10.055,0.042,0.042,0.048,0.048,0.073,0.664,2.29,4.19,32.55,76.9,4,4,4,4,10.578204,9.998346,5.778053,2.854465,2.32E-4,4.83E-4,6.08E-4,0.001083,0,0,8.021,7.368,7.041,0.019,0.023,0.022,1,19.047,17.369,16.554,16.169,16.987,0.034,0.006,0.005,0.004,0.036,43.7306,43.3762,43.2806,41.6565,41.9385,10.491,,0.321,0.272,0.216,-0.583,-0.365,0.321,RT,10.4058,,,,,-1,-1,N,N,1.4682411544028287,9.9017,697.6,5.9,10.491000175476074,7.040999889373779,10.70300006866455,0.32100000977516174,2.0941125029854732,10.405799865722656,2.5456568768504135E10,8.226216667410383E-11,-10.084799855947495,10,0.8149986,0.64799976,-0.069999695,-19.275548751412614,-14.540514011910044
